Year,Under 5,5 to 19,20 to 44,45 to 64,65+
AC1860,15.4,35.8,35.7,10.4,2.7
AC1870,14.3,35.4,35.4,11.9,3
AC1880,13.8,34.3,35.9,12.6,3.4
AC1890,12.2,33.9,36.9,13.1,3.9
AC1900,12.1,32.3,37.7,13.7,4.1
AC1910,11.6,30.4,39,14.6,4.3
AC1920,10.9,29.8,38.4,16.1,4.7
AC1930,9.3,29.5,38.3,17.4,5.4
AC1940,8,26.4,38.9,19.8,6.8
AC1950,10.7,23.2,37.6,20.3,8.1
AC1960,11.3,27.1,32.2,20.1,9.2
AC1970,8.4,29.5,31.7,20.6,9.8
AC1980,7.2,24.8,37.1,19.6,11.3
AC1990,7.6,21.3,40.1,18.6,12.5
AC2000,6.8,21.8,37,22,12.4
AC2005,6.8,20.7,35.4,24.6,12.4
