latitude,fert_rate,hdi_rank,longitude,country
33.939,121.3,155,67.71,Afghanistan
41.1527,14.2,64,20.1709,Albania
28.0331,7.3,84,1.6596,Algeria
42.5063,,30,1.5218,Andorra
-11.2027,123.7,146,17.9078,Angola
-38.4161,56.9,46,-63.6162,Argentina
40.0691,35.7,76,45.0374,Armenia
-25.2744,14.9,2,133.7751,Australia
47.7131,12.8,25,13.35,Austria
40.4868,33.8,67,48.2279,Azerbaijan
23.9222,53,43,-75.8589,Bahamas
25.9304,16.7,39,50.6249,Bahrain
23.6855,71.6,129,90.3566,Bangladesh
13.1938,42.7,42,-59.5433,Barbados
53.7097,21.3,61,27.9527,Belarus
50.5051,7.7,18,4.4699,Belgium
17.1899,78.7,78,-88.498,Belize
9.3077,111.8,134,2.3158,Benin
27.5143,38.3,,90.4331,Bhutan
-17.414,78.2,95,-66.1653,Bolivia
43.9159,15.9,68,17.6802,Bosnia and Herzegovina
-22.3288,52.1,98,24.6849,Botswana
-14.2342,75.6,73,-54.3988,Brazil
4.5356,25,37,114.7277,Brunei Darussalam
42.7339,42.2,58,25.4852,Bulgaria
12.2392,130.9,161,-1.5615,Burkina Faso
-3.3748,18.6,166,29.9191,Burundi
12.5657,39.2,124,104.9914,Cambodia
7.3696,127.5,131,12.3547,Cameroon
62.3947,12.8,8,-96.8102,Canada
16.0017,94.9,118,-24.0133,Cape Verde
6.6111,106.6,159,20.9393,Central African Republic
15.4545,164.4,163,18.7323,Chad
-36.7391,59.6,45,-71.0575,Chile
35.8613,9.7,89,104.1943,China
4.1767,74.3,79,-74.2953,Colombia
-11.875,45.7,140,43.8722,Comoros
-0.6519,112.8,126,14.8921,Congo
-4.0387,201.4,168,21.7587,Congo
9.6193,67,62,-84.2364,Costa Rica
44.4679,14.1,51,16.4649,Croatia
21.508,45.2,,-79.5421,Cuba
35.1644,6.1,35,33.428,Cyprus
49.8169,10.6,28,15.473,Czech Republic
56.154,6,19,11.621,Denmark
11.8253,23,147,42.5901,Djibouti
18.7675,108.7,88,-70.163,Dominican Republic
-1.8312,82.8,77,-78.1834,Ecuador
26.8206,39,101,30.8013,Egypt
13.7942,82.7,90,-88.9014,El Salvador
2.3467,122.8,117,9.889,Equatorial Guinea
15.1794,66.9,,39.7823,Eritrea
58.5937,21.4,34,25.0157,Estonia
9.1451,104.4,157,40.49,Ethiopia
-17.6581,31.5,86,178.065,Fiji
64.9477,11.4,16,25.5467,Finland
46.228,6.9,14,2.386,France
-0.8037,89.9,93,11.6102,Gabon
13.4432,88.1,151,-15.3101,Gambia
42.3164,44.7,74,43.3569,Georgia
51.1656,7.7,10,10.4494,Germany
