Country,TotalCases,TotalDeaths,Recovered,ActiveCases,SeriousCases,CasesPerMil,Population,MedianAge
China,80881,3226,68694,8961,3226,56.2,1439323776,38
Italy,27980,2158,2749,23073,1851,0.0,60461826,47
Iran,14991,853,4996,9142,0,178.5,83992949,32
Spain,9942,342,530,9070,272,212.6,46754778,45
South Korea,8320,81,1401,6838,59,162.3,51269185,44
Germany,7588,17,67,7504,2,90.6,83783942,46
France,6633,148,12,6473,400,101.6,65273511,42
United States of America,4743,93,74,4576,12,14.3,331002651,38
Switzerland,2354,21,4,2329,0,272.0,8654622,43
United Kingdom,1543,55,52,1436,20,22.7,67886011,40
Netherlands,1413,24,2,1387,45,82.5,17134872,43
Norway,1360,3,1,1356,27,250.9,5421241,40
Austria,1211,3,8,1200,12,134.5,9006398,43
Sweden,1121,7,1,1113,2,111.0,10099265,41
Belgium,1058,10,1,1047,33,91.3,11589623,42
Denmark,960,4,1,955,10,165.7,5792202,42
Japan,851,28,144,679,41,6.7,126476461,48
Diamond Princess,696,7,456,233,15,0.0,0,0
Malaysia,673,2,42,629,9,20.8,32365999,30
Australia,452,5,27,420,1,17.7,25499884,38
Canada,441,4,11,426,1,11.7,37742154,41
Qatar,439,0,4,435,0,152.4,2881053,32
Czechia,383,0,3,380,2,35.8,0,0
Greece,352,4,10,338,5,33.8,10423054,46
Portugal,331,1,3,327,18,32.5,10196709,46
Israel,304,0,5,299,4,35.1,8655535,30
Finland,294,0,10,284,1,53.1,5540720,43
Slovenia,253,1,0,252,3,121.7,2078938,45
Singapore,243,0,109,134,11,41.5,5850342,42
Brazil,234,0,2,232,18,1.1,212559417,33
Bahrain,228,1,81,146,1,134.0,1701575,32
Estonia,225,0,1,224,0,169.6,1326535,42
Ireland,223,2,5,216,6,45.2,4937786,38
Poland,205,5,0,200,3,5.4,37846611,42
Iceland,199,0,0,199,1,0.0,341243,37
Pakistan,194,1,2,191,0,0.9,220892340,23
Philippines,187,12,5,170,1,1.7,109581078,26
Romania,184,0,16,168,3,9.6,19237691,43
Thailand,177,1,41,135,1,2.5,69799978,40
Indonesia,172,5,8,159,0,0.6,273523615,30
Egypt,166,4,32,130,0,1.6,102334404,25
Hong Kong,162,4,81,77,4,21.6,7496981,45
Chile,156,0,0,156,0,8.2,19116201,35
Iraq,133,10,32,91,0,3.3,40222493,21
Saudi Arabia,133,0,6,127,0,3.8,34813871,32
Kuwait,130,0,12,118,4,30.4,4270571,37
India,126,3,13,110,0,0.1,1380004385,28
Lebanon,120,3,3,114,3,17.6,6825445,30
San Marino,102,9,4,89,11,0.0,33931,0
