LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	MONTH	RATE	region
CN010010	1	1	"Autauga County, AL"	Aug-10(p)	8.1	alabama
PA011000	1	3	"Baldwin County, AL"	Aug-10(p)	8.2	alabama
CN010050	1	5	"Barbour County, AL"	Aug-10(p)	11.6	alabama
CN010070	1	7	"Bibb County, AL"	Aug-10(p)	10.1	alabama
CN010090	1	9	"Blount County, AL"	Aug-10(p)	8.3	alabama
CN010110	1	11	"Bullock County, AL"	Aug-10(p)	15	alabama
CN010130	1	13	"Butler County, AL"	Aug-10(p)	12.2	alabama
PA010250	1	15	"Calhoun County, AL"	Aug-10(p)	9.1	alabama
CN010170	1	17	"Chambers County, AL"	Aug-10(p)	13.6	alabama
CN010190	1	19	"Cherokee County, AL"	Aug-10(p)	8.8	alabama
CN010210	1	21	"Chilton County, AL"	Aug-10(p)	9.4	alabama
CN010230	1	23	"Choctaw County, AL"	Aug-10(p)	11.1	alabama
CN010250	1	25	"Clarke County, AL"	Aug-10(p)	15.8	alabama
CN010270	1	27	"Clay County, AL"	Aug-10(p)	13.3	alabama
CN010290	1	29	"Cleburne County, AL"	Aug-10(p)	8.4	alabama
CN010310	1	31	"Coffee County, AL"	Aug-10(p)	7.3	alabama
PA010900	1	33	"Colbert County, AL"	Aug-10(p)	9.2	alabama
CN010350	1	35	"Conecuh County, AL"	Aug-10(p)	15.4	alabama
CN010370	1	37	"Coosa County, AL"	Aug-10(p)	12.2	alabama
CN010390	1	39	"Covington County, AL"	Aug-10(p)	8.7	alabama
CN010410	1	41	"Crenshaw County, AL"	Aug-10(p)	8.7	alabama
PA010400	1	43	"Cullman County, AL"	Aug-10(p)	8.6	alabama
PA010450	1	45	"Dale County, AL"	Aug-10(p)	7.8	alabama
PA010500	1	47	"Dallas County, AL"	Aug-10(p)	17.8	alabama
PA010270	1	49	"DeKalb County, AL"	Aug-10(p)	11.1	alabama
CN010510	1	51	"Elmore County, AL"	Aug-10(p)	8.3	alabama
CN010530	1	53	"Escambia County, AL"	Aug-10(p)	10.9	alabama
PS010010	1	55	"Etowah County, AL"	Aug-10(p)	9.2	alabama
CN010570	1	57	"Fayette County, AL"	Aug-10(p)	11.4	alabama
CN010590	1	59	"Franklin County, AL"	Aug-10(p)	9.7	alabama
CN010610	1	61	"Geneva County, AL"	Aug-10(p)	8.8	alabama
CN010630	1	63	"Greene County, AL"	Aug-10(p)	18.8	alabama
CN010650	1	65	"Hale County, AL"	Aug-10(p)	11.3	alabama
CN010670	1	67	"Henry County, AL"	Aug-10(p)	9.3	alabama
PA010550	1	69	"Houston County, AL"	Aug-10(p)	7.9	alabama
PA010570	1	71	"Jackson County, AL"	Aug-10(p)	9.5	alabama
PS010050	1	73	"Jefferson County, AL"	Aug-10(p)	9.4	alabama
CN010750	1	75	"Lamar County, AL"	Aug-10(p)	13.1	alabama
PA010600	1	77	"Lauderdale County, AL"	Aug-10(p)	8.6	alabama
CN010790	1	79	"Lawrence County, AL"	Aug-10(p)	9.9	alabama
PA010650	1	81	"Lee County, AL"	Aug-10(p)	7.8	alabama
